,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
9444,Q9NY74,ETAA1,0.34373015,0.183592255,0.384529274,,3.006855319
9445,Q9NY91,SLC5A4,0.2847592,0.420127263,0.161817243,0.0,0.0
9446,Q9NY93,DDX56,0.51044226,0.144746422,0.949560597,1.0,5.291747791
9447,Q9NY99,SNTG2,0.30883268,0.242321639,0.32761483,,0.001612785
9448,Q9NYA3,GOLGA6A,0.48890275,0.333127889,0.381181674,,0.0
9449,Q9NYA4,MTMR4,0.6240091,0.389378433,0.385111663,,3.189151853
9450,Q9NYB0,TERF2IP,0.975744,0.999772332,0.702056825,1.0,1.810665558
9451,Q9NYC9,DNAH9,0.63923556,0.60400459,0.736195706,1.0,0.001810191
9452,Q9NYD6,HOXC10,0.6103197,0.760628218,0.316332703,,4.955934262
9453,Q9NYF0,DACT1,0.33269638,0.27430515,0.585936128,,0.318392598
